N_T	T_E1,K	T_E2,K	T_E3,K	T_D,K
26	168.113632524	207.992758696	1837.65651759	129.945267436
36	173.271839252	309.9039027	173.277377328	130.101306055
46	161.693422925	237.713000972	1921.66495628	130.861926502
56	162.289444115	230.821407963	452.338097879	130.747923076
66	180.135826084	180.135565927	1816.41688144	131.014301729
76	179.425951396	179.427910213	1823.77910386	131.366757294
86	179.797556404	179.790782197	1022.18653308	131.133952994
96	179.872284712	179.840831562	857.244416955	131.037459536
106	180.02785503	180.025049041	847.977399227	130.918539506
116	180.053715561	180.025453051	848.625159697	130.908754
126	180.355782289	180.35104077	884.582315745	130.726483463
136	180.646407487	180.657196862	924.364433192	130.553471451
146	180.81199279	180.809107216	948.99296198	130.461068629
