T,K	C_bg	DC_p
2.9	0.051843093749	-0.012764943749
2.97	0.0556885956036	-0.00954312060359
3.66	0.104217389475	-0.0318812394747
3.86	0.122252811376	-0.0249731613761
4.07	0.143311214761	-0.0385485147613
4.33	0.172568153063	-0.0312216530627
4.6	0.206904755169	-0.0339631551687
4.94	0.256258242472	-0.0483957424722
5.21	0.300614674281	-0.0395393742811
5.53	0.359478056987	-0.0318867569869
5.8	0.414744752139	-0.0439180521393
6.1	0.482487642923	-0.0384933429229
6.37	0.549432724009	-0.0380909740088
6.69	0.63646341342	-0.0336621634201
6.97	0.719766387863	-0.0263370878628
7.28	0.820132068391	-0.0169513683911
7.57	0.922086850144	-0.0158063501439
7.86	1.03215154141	0.0154754585867
8.15	1.15063189162	0.030027108384
8.45	1.28237707854	0.0645719214551
8.76	1.42867111661	0.0679388833926
9.07	1.58564977432	0.110508225683
9.4	1.76490169377	0.155747806229
9.74	1.96313011885	0.190325381149
10.1	2.18851118154	0.24763731846
10.47	2.43731349979	0.29815700021
10.87	2.72651191483	0.374796585165
11.23	3.00532061659	0.436882383409
11.63	3.33632184411	0.496662655894
11.97	3.63570208834	0.546491411664
12.36	4.00003419295	0.614513307045
12.69	4.32616772911	0.679161270888
13.08	4.73314810574	0.754421894264
13.45	5.14124812975	0.795304870255
13.82	5.57113581055	0.905859689447
14.12	5.93591441284	1.00669308716
14.19	6.0231382433	0.952727256698
14.56	6.49753705995	1.16011744005
14.65	6.61634521272	1.12445428728
15.14	7.2867991945	1.2106198055
15.69	8.08716834585	1.32484565415
16.35	9.11469733081	1.45303216919
16.99	10.1808763685	1.54256863151
17.62	11.2968930473	1.59889645275
18.29	12.554904752	1.70446274802
19.0	13.965923264	1.75679623599
19.66	15.3468963822	1.78097361778
20.29	16.7246774318	1.80002856825
20.93	18.1808941234	1.78222037663
21.65	19.8831241655	1.75120483454
22.47	21.8979264402	1.6736810598
23.31	24.0378135911	1.56253190886
24.1	26.1124139147	1.40858108529
24.85	28.1305225737	1.24460592633
25.63	30.2723289567	1.05670704329
26.49	32.6759679024	0.83146709765
27.3	34.9720503725	0.63895312748
28.1	37.2628380733	0.484991926723
28.94	39.685175062	0.40734393798
29.78	42.1174929376	0.10353806237
30.67	44.6976688008	-0.156892300774
31.6	47.38904424	-0.387175740036
32.58	50.2112785184	-0.590342518354
33.59	53.0965080524	-0.81493205239
34.62	56.0063248818	-1.03085088175
35.66	58.9037769348	-1.16788893484
36.67	61.6726616168	-1.30939161681
37.64	64.2856592221	-1.43635372207
38.59	66.797469426	-1.63673292597
39.51	69.1828137462	-1.7605332462
40.41	71.4695587175	-1.86887921748
41.33	73.7578960608	-1.95387406079
42.29	76.0915202158	-2.01763971578
43.22	78.2986726864	-2.08796568636
44.14	80.429836835	-2.13219033501
45.04	82.4642652805	-2.04642128047
45.92	84.4053881242	-2.04195112423
46.82	86.3417353455	-1.94956034547
47.75	88.2911821038	-1.90352710385
48.67	90.1688765388	-1.86888653883
49.57	91.9576320721	-1.74530707208
50.46	93.6805452627	-1.55588526273
51.33	95.3214266217	-1.45072162174
52.23	96.9747977328	-1.44119273284
53.16	98.6372885681	-1.19134856814
54.07	100.21993883	-1.02795382956
54.97	101.743471937	-0.722296936919
55.86	103.210422543	-0.609492542655
56.74	104.623250735	-0.525710735121
57.64	106.030650065	-0.270210065431
58.57	107.446354614	-0.10615961434
59.48	108.794893816	0.125056183615
60.38	110.094113819	0.322446181485
61.28	111.360218908	0.636096092115
62.17	112.580844268	0.828935731742
63.08	113.797775807	1.10861419263
64.01	115.010157928	1.39284207221
64.93	116.179579823	1.72003017668
65.85	117.320415271	1.99265972935
66.76	118.421850189	2.30468981113
67.66	119.485832677	2.57102732279
68.59	120.559883517	2.91044148289
69.53	121.620353299	3.34658170085
70.46	122.64574866	3.81779633971
71.06	123.295218993	3.99977600692
71.39	123.648509801	4.06221019922
72.31	124.619193514	4.67128148598
73.09	125.426270061	5.02823493934
73.23	125.56963217	5.13430782953
